CustomerID;Count;Country;State;City;Zip Code;Lat Long;Latitude;Longitude;Gender;Senior Citizen;Partner;Dependents;Tenure Months;Phone Service;Multiple Lines;Internet Service;Online Security;Online Backup;Device Protection;Tech Support;Streaming TV;Streaming Movies;Contract;Paperless Billing;Payment Method;Monthly Charges;Total Charges;Churn Label;Churn Value;Churn Score;CLTV;Churn Reason
0278-YXOOG;1;United States;California;Inglewood;90301;33.956445, -118.358634;33,956445;-118,358634;Male;No;No;No;5;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;No;Mailed check;23,155;125,235;Yes;1;66;2604;Network reliability
4598-XLKNJ;1;United States;California;Inglewood;90303;33.936291, -118.332639;33,936291;-118,332639;Female;Yes;Yes;Yes;25;Yes;No;Fiber optic;No;Yes;Yes;No;Yes;Yes;Month-to-month;Yes;Electronic check;108,35;2765,95;Yes;1;88;5337;Limited range of services
3192-NQECA;1;United States;California;Santa Monica;90403;34.031529, -118.491156;34,031529;-118,491156;Male;No;Yes;No;68;Yes;Yes;Fiber optic;No;Yes;Yes;Yes;Yes;Yes;Two year;Yes;Bank transfer (automatic);121;8373,035;Yes;1;86;5034;Lack of affordable download/upload speed
0486-HECZI;1;United States;California;Torrance;90504;33.867257, -118.330794;33,867257;-118,330794;Male;No;Yes;Yes;55;Yes;Yes;Fiber optic;Yes;Yes;No;No;Yes;No;Month-to-month;Yes;Electronic check;106,425;5762,79;Yes;1;75;5154;Long distance charges
4846-WHAFZ;1;United States;California;Whittier;90602;33.972119, -118.020188;33,972119;-118,020188;Female;Yes;Yes;Yes;37;Yes;Yes;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Electronic check;84,15;3154,965;Yes;1;67;2793;Extra data charges
5299-RULOA;1;United States;California;Whittier;90606;33.976678, -118.065875;33,976678;-118,065875;Female;No;Yes;Yes;10;Yes;Yes;Fiber optic;Yes;No;No;No;Yes;Yes;Month-to-month;Yes;Electronic check;110,275;1171,115;Yes;1;87;5998;Price too high
0404-SWRVG;1;United States;California;La Habra;90631;33.940619, -117.9513;33,940619;-117,9513;Male;No;No;Yes;3;Yes;Yes;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Electronic check;81,84;252,505;Yes;1;76;4415;Product dissatisfaction
4412-YLTKF;1;United States;California;Pico Rivera;90660;33.989524, -118.089299;33,989524;-118,089299;Female;Yes;No;Yes;27;Yes;Yes;Fiber optic;No;No;Yes;No;No;No;Month-to-month;Yes;Electronic check;85,855;2349,05;Yes;1;95;4638;Service dissatisfaction
6207-WIOLX;1;United States;California;Avalon;90704;33.391181, -118.421305;33,391181;-118,421305;Female;No;Yes;No;25;No;No phone service;DSL;Yes;Yes;Yes;No;Yes;Yes;Month-to-month;Yes;Credit card (automatic);64,46;1652,915;Yes;1;99;4190;Lack of self-service on Website
3091-FYHKI;1;United States;California;Harbor City;90710;33.798266, -118.300237;33,798266;-118,300237;Male;No;No;No;1;No;No phone service;DSL;No;No;No;No;No;Yes;Month-to-month;Yes;Electronic check;38,995;38,995;Yes;1;80;2301;Network reliability
2372-HWUHI;1;United States;California;Lakewood;90712;33.840524, -118.148403;33,840524;-118,148403;Male;No;No;No;2;Yes;No;DSL;No;No;No;No;No;No;Month-to-month;No;Electronic check;48,785;89,375;Yes;1;76;2570;Don't know
0390-DCFDQ;1;United States;California;Los Alamitos;90720;33.79499, -118.065591;33,79499;-118,065591;Female;Yes;Yes;Yes;1;Yes;No;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Mailed check;77,495;77,495;Yes;1;76;3964;Don't know
4080-OGPJL;1;United States;California;San Pedro;90731;33.736387, -118.284363;33,736387;-118,284363;Female;No;No;No;8;Yes;Yes;DSL;Yes;No;No;Yes;No;Yes;Month-to-month;No;Electronic check;78,265;620,015;Yes;1;66;2662;Don't know
2135-RXIHG;1;United States;California;Carson;90745;33.822295, -118.26411;33,822295;-118,26411;Male;No;No;No;1;Yes;No;DSL;No;No;No;No;No;No;Month-to-month;Yes;Electronic check;50,215;50,215;Yes;1;73;2600;Poor expertise of online support
3874-EQOEP;1;United States;California;Long Beach;90804;33.783047, -118.1486;33,783047;-118,1486;Male;No;No;Yes;7;Yes;Yes;Fiber optic;No;No;No;No;Yes;Yes;Month-to-month;No;Mailed check;104,5;721,05;Yes;1;94;2786;Poor expertise of phone support
0867-MKZVY;1;United States;California;Altadena;91001;34.196837, -118.142236;34,196837;-118,142236;Female;No;Yes;Yes;20;Yes;Yes;Fiber optic;Yes;No;No;No;No;No;Month-to-month;No;Electronic check;90,64;1751,585;Yes;1;86;5719;Price too high
3376-BMGFE;1;United States;California;Monrovia;91016;34.1528, -118.000482;34,1528;-118,000482;Female;No;No;Yes;4;Yes;No;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Bank transfer (automatic);77,99;300,3;Yes;1;75;4287;Product dissatisfaction
3445-HXXGF;1;United States;California;Sierra Madre;91024;34.168686, -118.057505;34,168686;-118,057505;Male;Yes;Yes;No;58;No;No phone service;DSL;No;Yes;Yes;No;No;Yes;Month-to-month;Yes;Electronic check;49,83;2916,32;Yes;1;100;5444;Service dissatisfaction
1875-QIVME;1;United States;California;Tujunga;91042;34.296574, -118.244839;34,296574;-118,244839;Female;No;Yes;Yes;2;Yes;Yes;Fiber optic;No;No;Yes;Yes;Yes;Yes;Month-to-month;Yes;Electronic check;114,84;267,08;Yes;1;83;4690;Lack of self-service on Website
0691-JVSYA;1;United States;California;Pasadena;91103;34.167465, -118.165327;34,167465;-118,165327;Female;No;Yes;No;53;Yes;No;Fiber optic;No;No;Yes;No;Yes;Yes;One year;Yes;Bank transfer (automatic);104,335;5500,22;Yes;1;80;4328;Network reliability
2656-FMOKZ;1;United States;California;Pasadena;91106;34.139402, -118.128658;34,139402;-118,128658;Female;Yes;No;Yes;15;Yes;Yes;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Mailed check;81,895;1260,27;Yes;1;99;5717;Limited range of services
2070-FNEXE;1;United States;California;Pasadena;91107;34.159007, -118.087353;34,159007;-118,087353;Female;Yes;No;Yes;7;Yes;No;Fiber optic;Yes;No;No;No;No;No;Month-to-month;No;Bank transfer (automatic);84,095;553,96;Yes;1;81;4419;Lack of affordable download/upload speed
6317-YPKDH;1;United States;California;Glendale;91202;34.167926, -118.267539;34,167926;-118,267539;Female;No;No;No;1;No;No phone service;DSL;No;Yes;No;No;No;No;Month-to-month;No;Bank transfer (automatic);32,945;32,945;Yes;1;95;4534;Long distance charges
9367-WXLCH;1;United States;California;Glendale;91204;34.136306, -118.26036;34,136306;-118,26036;Male;No;No;Yes;8;Yes;Yes;Fiber optic;No;No;No;No;No;Yes;Month-to-month;No;Bank transfer (automatic);92,95;728,915;Yes;1;86;2152;Extra data charges
1918-ZBFQJ;1;United States;California;Glendale;91206;34.162515, -118.203869;34,162515;-118,203869;Female;No;No;Yes;13;Yes;No;Fiber optic;No;Yes;Yes;No;No;No;Month-to-month;Yes;Electronic check;87,175;1222,815;Yes;1;73;5142;Price too high
1024-GUALD;1;United States;California;Glendale;91207;34.182378, -118.262922;34,182378;-118,262922;Female;No;Yes;No;1;No;No phone service;DSL;No;No;No;No;No;No;Month-to-month;Yes;Electronic check;27,28;27,28;Yes;1;94;4851;Product dissatisfaction
2472-OVKUP;1;United States;California;Canoga Park;91304;34.224377, -118.632656;34,224377;-118,632656;Male;No;Yes;Yes;6;Yes;No;Fiber optic;No;Yes;Yes;No;No;Yes;Month-to-month;Yes;Electronic check;100,1;584,1;Yes;1;94;2283;Service dissatisfaction
1285-OKIPP;1;United States;California;Mission Hills;91345;34.266389, -118.459744;34,266389;-118,459744;Male;No;No;Yes;1;Yes;No;Fiber optic;No;No;No;No;No;Yes;Month-to-month;No;Electronic check;87,89;87,89;Yes;1;98;3394;Lack of self-service on Website
7825-ECJRF;1;United States;California;Santa Clarita;91350;34.502432, -118.41459;34,502432;-118,41459;Female;No;No;Yes;19;Yes;No;Fiber optic;Yes;No;Yes;Yes;Yes;Yes;Month-to-month;Yes;Electronic check;117,26;2127,895;Yes;1;71;3764;Network reliability
7841-TZDMQ;1;United States;California;Sun Valley;91352;34.231053, -118.338307;34,231053;-118,338307;Male;No;No;No;2;Yes;No;DSL;No;No;No;No;No;No;Month-to-month;Yes;Credit card (automatic);50,6;92,95;Yes;1;76;2667;Don't know
9408-SSNVZ;1;United States;California;Stevenson Ranch;91381;34.364153, -118.615583;34,364153;-118,615583;Female;No;No;Yes;4;Yes;No;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Electronic check;77,165;295,185;Yes;1;67;2227;Don't know
0742-MOABM;1;United States;California;Panorama City;91402;34.223768, -118.445461;34,223768;-118,445461;Male;No;Yes;No;4;Yes;No;DSL;No;No;No;Yes;No;No;Month-to-month;No;Mailed check;55,055;197,285;Yes;1;82;3394;Don't know
2232-DMLXU;1;United States;California;Van Nuys;91411;34.17847, -118.459472;34,17847;-118,459472;Female;No;Yes;No;1;Yes;No;DSL;No;No;No;No;Yes;No;Month-to-month;No;Mailed check;60,72;60,72;Yes;1;81;3638;Poor expertise of online support
8937-RDTHP;1;United States;California;Burbank;91504;34.213049, -118.317651;34,213049;-118,317651;Male;No;No;Yes;1;Yes;No;Fiber optic;Yes;No;No;No;No;Yes;Month-to-month;Yes;Mailed check;93,06;93,06;Yes;1;66;2484;Poor expertise of phone support
1251-KRREG;1;United States;California;North Hollywood;91601;34.1692, -118.372498;34,1692;-118,372498;Male;No;No;No;2;Yes;Yes;DSL;No;Yes;No;No;No;No;Month-to-month;Yes;Mailed check;59,84;125,51;Yes;1;81;2556;Price too high
0094-OIFMO;1;United States;California;North Hollywood;91605;34.207295, -118.400022;34,207295;-118,400022;Female;Yes;No;Yes;11;Yes;No;Fiber optic;No;Yes;No;No;Yes;Yes;Month-to-month;Yes;Electronic check;104,5;1232,33;Yes;1;85;5980;Product dissatisfaction
9947-OTFQU;1;United States;California;Covina;91722;34.097345, -117.906736;34,097345;-117,906736;Male;Yes;No;No;15;Yes;No;Fiber optic;No;Yes;No;No;No;No;Month-to-month;Yes;Electronic check;81,84;1181,73;Yes;1;86;4616;Service dissatisfaction
0322-YINQP;1;United States;California;Covina;91723;34.084747, -117.886844;34,084747;-117,886844;Male;No;No;No;1;Yes;No;DSL;Yes;No;No;No;No;No;Month-to-month;Yes;Mailed check;53,405;53,405;Yes;1;77;5687;Lack of self-service on Website
4629-NRXKX;1;United States;California;El Monte;91731;34.079934, -118.046695;34,079934;-118,046695;Female;No;Yes;No;2;Yes;No;Fiber optic;No;No;No;No;No;No;Month-to-month;No;Electronic check;77,44;161,865;Yes;1;75;5687;Network reliability
9514-JDSKI;1;United States;California;El Monte;91732;34.074492, -118.01462;34,074492;-118,01462;Male;Yes;Yes;No;1;No;No phone service;DSL;No;Yes;No;No;Yes;No;Month-to-month;No;Electronic check;44,22;44,22;Yes;1;65;5828;Limited range of services
4959-JOSRX;1;United States;California;La Puente;91744;34.031441, -117.936436;34,031441;-117,936436;Female;No;Yes;No;2;Yes;No;DSL;No;No;No;No;No;No;Month-to-month;Yes;Credit card (automatic);49,06;88,605;Yes;1;99;4884;Lack of affordable download/upload speed
7273-TEFQD;1;United States;California;La Puente;91746;34.038983, -117.991372;34,038983;-117,991372;Male;Yes;No;No;3;No;No phone service;DSL;No;No;Yes;No;No;Yes;Month-to-month;Yes;Electronic check;45,265;145,42;Yes;1;96;2314;Long distance charges
3606-TWKGI;1;United States;California;Rowland Heights;91748;33.976753, -117.897367;33,976753;-117,897367;Male;Yes;No;No;13;Yes;Yes;Fiber optic;No;Yes;Yes;No;Yes;Yes;Month-to-month;Yes;Electronic check;117,59;1500,73;Yes;1;84;2494;Extra data charges
6323-AYBRX;1;United States;California;Ontario;91762;34.057256, -117.667677;34,057256;-117,667677;Male;No;No;No;59;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Mailed check;21,285;1209,56;Yes;1;83;5084;Price too high
4385-GZQXV;1;United States;California;Ontario;91764;34.074087, -117.605618;34,074087;-117,605618;Female;Yes;No;No;16;Yes;No;Fiber optic;No;No;No;Yes;Yes;Yes;Month-to-month;Yes;Electronic check;103,895;1662,32;Yes;1;81;3810;Product dissatisfaction
6366-ZGQGL;1;United States;California;Pomona;91766;34.042286, -117.756106;34,042286;-117,756106;Male;No;No;No;1;No;No phone service;DSL;No;No;No;No;No;No;Month-to-month;No;Bank transfer (automatic);27,28;27,28;Yes;1;73;5087;Service dissatisfaction
5940-AHUHD;1;United States;California;Pomona;91768;34.067932, -117.785168;34,067932;-117,785168;Male;No;No;No;1;Yes;No;Fiber optic;No;No;No;No;No;No;Month-to-month;No;Mailed check;77,66;77,66;Yes;1;69;3338;Lack of self-service on Website
6432-TWQLB;1;United States;California;Rosemead;91770;34.065108, -118.082791;34,065108;-118,082791;Male;No;Yes;No;5;Yes;Yes;Fiber optic;No;Yes;No;Yes;No;No;Month-to-month;Yes;Electronic check;93,94;441,21;Yes;1;80;3676;Network reliability
4484-GLZOU;1;United States;California;San Dimas;91773;34.102119, -117.815532;34,102119;-117,815532;Female;No;Yes;No;52;Yes;Yes;Fiber optic;No;Yes;Yes;No;Yes;Yes;Month-to-month;Yes;Electronic check;115,555;6187,335;Yes;1;65;4839;Don't know
9512-UIBFX;1;United States;California;West Covina;91791;34.061634, -117.893169;34,061634;-117,893169;Male;No;Yes;No;18;Yes;No;Fiber optic;No;No;Yes;No;Yes;Yes;Month-to-month;No;Mailed check;104,665;1957,945;Yes;1;68;4643;Don't know
5583-SXDAG;1;United States;California;Alhambra;91803;34.074736, -118.145959;34,074736;-118,145959;Male;No;Yes;No;1;Yes;No;Fiber optic;No;No;No;No;No;No;Month-to-month;No;Electronic check;77;77;Yes;1;97;4094;Don't know
3488-PGMQJ;1;United States;California;Alpine;91901;32.827184, -116.703729;32,827184;-116,703729;Male;Yes;No;No;8;Yes;No;Fiber optic;No;Yes;No;No;No;No;Month-to-month;Yes;Electronic check;81,95;667,205;Yes;1;80;4345;Poor expertise of online support
3580-REOAC;1;United States;California;Bonita;91902;32.67117, -117.00232;32,67117;-117,00232;Male;No;No;No;10;Yes;No;DSL;No;No;No;No;No;No;Month-to-month;Yes;Credit card (automatic);49,335;478,94;Yes;1;83;4061;Poor expertise of phone support
7534-BFESC;1;United States;California;Boulevard;91905;32.677097, -116.304991;32,677097;-116,304991;Male;Yes;No;No;24;Yes;Yes;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Electronic check;83,71;1883,97;Yes;1;98;2018;Price too high
6390-DSAZX;1;United States;California;Guatay;91931;32.857946, -116.561917;32,857946;-116,561917;Female;No;No;No;1;Yes;No;Fiber optic;Yes;No;No;No;No;No;Month-to-month;Yes;Mailed check;80,96;80,96;Yes;1;80;2565;Product dissatisfaction
8098-LLAZX;1;United States;California;Jacumba;91934;32.649787, -116.2237;32,649787;-116,2237;Female;Yes;No;No;4;Yes;Yes;Fiber optic;No;No;No;No;Yes;Yes;Month-to-month;Yes;Electronic check;104,995;435,71;Yes;1;85;3677;Service dissatisfaction
0265-EDXBD;1;United States;California;Mount Laguna;91948;32.830852, -116.444601;32,830852;-116,444601;Male;Yes;Yes;No;32;Yes;Yes;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Electronic check;82,39;2533,685;Yes;1;69;4105;Lack of self-service on Website
7563-BIUPC;1;United States;California;Borrego Springs;92004;33.200369, -116.192313;33,200369;-116,192313;Male;No;No;No;5;Yes;No;Fiber optic;No;No;No;No;Yes;No;Month-to-month;Yes;Electronic check;88,66;457,105;Yes;1;69;5715;Network reliability
2321-OMBXY;1;United States;California;Carlsbad;92009;33.098018, -117.258203;33,098018;-117,258203;Female;No;Yes;No;38;Yes;No;DSL;Yes;Yes;No;Yes;Yes;Yes;One year;No;Credit card (automatic);88,33;3364,515;Yes;1;81;2071;Limited range of services
2840-XANRC;1;United States;California;Del Mar;92014;32.948262, -117.256086;32,948262;-117,256086;Male;Yes;Yes;No;24;Yes;No;Fiber optic;No;No;Yes;No;Yes;Yes;Month-to-month;Yes;Electronic check;102,465;2454,155;Yes;1;73;2212;Lack of affordable download/upload speed
5020-ZSTTY;1;United States;California;El Cajon;92020;32.79697, -116.969082;32,79697;-116,969082;Female;Yes;No;No;54;Yes;Yes;DSL;Yes;Yes;No;Yes;Yes;Yes;One year;No;Bank transfer (automatic);90,695;4785,11;Yes;1;83;4149;Long distance charges
5804-LEPIM;1;United States;California;Escondido;92029;33.079834, -117.134275;33,079834;-117,134275;Female;Yes;No;No;2;Yes;No;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Electronic check;77,385;152,955;Yes;1;73;2671;Extra data charges
0122-OAHPZ;1;United States;California;Oceanside;92057;33.254497, -117.285879;33,254497;-117,285879;Female;No;No;No;7;Yes;Yes;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Electronic check;81,235;562,375;Yes;1;67;2473;Price too high
2868-SNELZ;1;United States;California;Pala;92059;33.384345, -117.072619;33,384345;-117,072619;Female;No;No;No;2;Yes;Yes;Fiber optic;No;No;Yes;No;No;No;Month-to-month;No;Mailed check;88,66;171,38;Yes;1;92;2683;Product dissatisfaction
4322-RCYMT;1;United States;California;Palomar Mountain;92060;33.309852, -116.823091;33,309852;-116,823091;Male;No;Yes;No;68;Yes;Yes;DSL;No;Yes;Yes;Yes;No;Yes;One year;Yes;Bank transfer (automatic);83,38;5823,345;Yes;1;81;4903;Service dissatisfaction
6680-NENYN;1;United States;California;Pauma Valley;92061;33.313828, -116.940501;33,313828;-116,940501;Female;No;No;No;43;Yes;Yes;Fiber optic;No;Yes;Yes;No;Yes;Yes;Two year;Yes;Electronic check;115,06;5235,835;Yes;1;91;5250;Lack of self-service on Website
1343-EHPYB;1;United States;California;Ranchita;92066;33.215251, -116.53633;33,215251;-116,53633;Male;No;Yes;No;63;Yes;Yes;Fiber optic;No;Yes;Yes;No;Yes;Yes;Month-to-month;Yes;Electronic check;113,74;7263,3;Yes;1;98;4352;Network reliability
2034-GDRCN;1;United States;California;Valley Center;92082;33.25283, -116.986079;33,25283;-116,986079;Female;No;No;No;2;Yes;No;Fiber optic;No;No;No;No;Yes;Yes;Month-to-month;Yes;Electronic check;99,44;185,02;Yes;1;76;4157;Don't know
0219-YTZUE;1;United States;California;San Diego;92103;32.747484, -117.166877;32,747484;-117,166877;Male;No;Yes;No;4;Yes;Yes;Fiber optic;No;Yes;Yes;No;No;No;Month-to-month;Yes;Bank transfer (automatic);93,28;409,09;Yes;1;73;4939;Don't know
0623-IIHUG;1;United States;California;San Diego;92104;32.741499, -117.127409;32,741499;-117,127409;Female;Yes;No;No;21;No;No phone service;DSL;Yes;No;No;No;Yes;No;Month-to-month;Yes;Electronic check;46,09;924,11;Yes;1;97;4778;Don't know
4572-DVCGN;1;United States;California;San Diego;92105;32.741859, -117.090353;32,741859;-117,090353;Female;No;No;No;10;Yes;No;Fiber optic;No;No;No;No;No;Yes;Month-to-month;Yes;Bank transfer (automatic);88,275;930,6;Yes;1;85;3598;Poor expertise of online support
9057-MSWCO;1;United States;California;San Diego;92108;32.774046, -117.142454;32,774046;-117,142454;Male;Yes;Yes;No;27;No;No phone service;DSL;Yes;No;No;No;No;No;Month-to-month;No;Credit card (automatic);33,825;885,61;Yes;1;91;2927;Poor expertise of phone support
1010-DIAUQ;1;United States;California;San Diego;92116;32.765299, -117.122565;32,765299;-117,122565;Male;No;No;No;5;Yes;No;Fiber optic;No;No;Yes;No;Yes;Yes;Month-to-month;No;Bank transfer (automatic);106,15;541,805;Yes;1;98;5383;Price too high
0259-GBZSH;1;United States;California;San Diego;92122;32.85723, -117.209774;32,85723;-117,209774;Male;No;No;No;2;Yes;Yes;Fiber optic;No;No;No;No;Yes;No;Month-to-month;Yes;Electronic check;94,215;199,65;Yes;1;73;3878;Product dissatisfaction
9601-BRXPO;1;United States;California;San Diego;92129;32.961064, -117.134917;32,961064;-117,134917;Female;No;Yes;No;25;Yes;Yes;Fiber optic;No;No;Yes;Yes;Yes;Yes;Month-to-month;Yes;Bank transfer (automatic);115,445;2823,15;Yes;1;66;3642;Service dissatisfaction
6905-NIQIN;1;United States;California;San Diego;92154;32.578103, -117.012975;32,578103;-117,012975;Male;No;No;No;1;Yes;No;DSL;No;Yes;No;No;No;No;Month-to-month;No;Mailed check;55,715;55,715;Yes;1;76;2431;Don't know
5167-ZFFMM;1;United States;California;Indio;92201;33.713891, -116.237257;33,713891;-116,237257;Male;No;No;No;1;Yes;Yes;Fiber optic;No;Yes;No;No;No;Yes;Month-to-month;Yes;Credit card (automatic);99,935;99,935;Yes;1;81;3424;Network reliability
4895-TMWIR;1;United States;California;Indian Wells;92210;33.537646, -116.291089;33,537646;-116,291089;Male;Yes;Yes;No;11;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;No;Mailed check;21,945;236,225;Yes;1;80;5888;Limited range of services
0533-BNWKF;1;United States;California;Palm Desert;92211;33.762759, -116.324817;33,762759;-116,324817;Female;Yes;Yes;No;55;Yes;Yes;Fiber optic;No;Yes;Yes;No;No;No;Month-to-month;Yes;Electronic check;93,995;5362,17;Yes;1;100;5502;Lack of affordable download/upload speed
